COLOROID_SZINKOR_Y_60
BEGIN_DATA_FORMAT
Sample_Name	XYZ_X	XYZ_Y	XYZ_Z	Lab_L	Lab_a	Lab_b
END_DATA_FORMAT
BEGIN_DATA
Coloroid_ATV_10_42	51.828	60.000	22.129	81.838	-13.230	51.098
Coloroid_ATV_11_43	53.491	60.000	21.694	81.838	-8.907	51.874
Coloroid_ATV_12_44	55.182	60.000	21.316	81.838	-4.601	52.555
Coloroid_ATV_13_43	56.912	60.000	22.965	81.838	-0.287	49.636
Coloroid_ATV_14_42	58.526	60.000	24.613	81.838	3.660	46.854
Coloroid_ATV_15_41	60.032	60.000	26.257	81.838	7.277	44.199
Coloroid_ATV_16_41	61.593	60.000	26.987	81.838	10.964	43.057
Coloroid_ATV_20_42	63.329	60.000	26.866	81.838	14.992	43.244
Coloroid_ATV_21_43	65.226	60.000	26.883	81.838	19.309	43.217
Coloroid_ATV_22_45	67.531	60.000	26.197	81.838	24.444	44.295
Coloroid_ATV_23_47	70.055	60.000	25.727	81.838	29.935	45.042
Coloroid_ATV_24_45	71.754	60.000	28.923	81.838	33.557	40.121
Coloroid_ATV_25_43	73.355	60.000	32.238	81.838	36.918	35.386
Coloroid_ATV_26_38	73.565	60.000	38.054	81.838	37.356	27.808
Coloroid_ATV_30_37	75.142	60.000	41.341	81.838	40.614	23.863
Coloroid_ATV_31_35	75.390	60.000	46.241	81.838	41.120	18.354
Coloroid_ATV_32_33	71.756	60.000	53.799	81.838	33.562	10.573
Coloroid_ATV_33_32	71.030	60.000	58.124	81.838	32.022	6.445
Coloroid_ATV_34_31	70.189	60.000	64.094	81.838	30.223	1.070
Coloroid_ATV_35_30	69.447	60.000	68.657	81.838	28.624	-2.816
Coloroid_ATV_40_28	68.365	60.000	72.041	81.838	26.274	-5.589
Coloroid_ATV_41_28	68.128	60.000	75.409	81.838	25.756	-8.264
Coloroid_ATV_42_27	67.501	60.000	78.338	81.838	24.378	-10.525
Coloroid_ATV_43_27	67.248	60.000	81.939	81.838	23.820	-13.230
Coloroid_ATV_44_26	66.603	60.000	85.109	81.838	22.392	-15.547
Coloroid_ATV_45_26	66.297	60.000	89.465	81.838	21.710	-18.638
Coloroid_ATV_46_24	64.984	60.000	96.146	81.838	18.763	-23.189
Coloroid_ATV_50_24	64.230	60.000	106.867	81.838	17.054	-30.072
Coloroid_ATV_51_25	60.230	60.000	96.806	81.838	7.749	-23.627
Coloroid_ATV_52_30	57.879	60.000	92.178	81.838	2.088	-20.512
Coloroid_ATV_53_38	56.011	60.000	91.786	81.838	-2.523	-20.244
Coloroid_ATV_54_40	54.458	60.000	87.878	81.838	-6.434	-17.523
Coloroid_ATV_55_44	52.895	60.000	85.658	81.838	-10.446	-15.942
Coloroid_ATV_56_51	50.293	60.000	82.596	81.838	-17.303	-13.716
Coloroid_ATV_60_55	47.650	60.000	77.727	81.838	-24.515	-10.059
Coloroid_ATV_61_54	46.180	60.000	73.160	81.838	-28.643	-6.487
Coloroid_ATV_62_54	44.342	60.000	68.728	81.838	-33.927	-2.876
Coloroid_ATV_63_51	42.798	60.000	63.625	81.838	-38.482	1.480
Coloroid_ATV_64_48	40.432	60.000	57.618	81.838	-45.676	6.918
Coloroid_ATV_65_45	36.543	60.000	48.977	81.838	-58.143	15.446
Coloroid_ATV_66_40	32.426	60.000	37.149	81.838	-72.343	28.934
Coloroid_ATV_70_35	34.689	60.000	30.984	81.838	-64.399	37.137
Coloroid_ATV_71_35	38.267	60.000	27.935	81.838	-52.513	41.602
Coloroid_ATV_72_28	45.191	60.000	34.996	81.838	-31.467	31.688
Coloroid_ATV_73_28	47.587	60.000	35.152	81.838	-24.691	31.484
Coloroid_ATV_74_32	48.430	60.000	31.208	81.838	-22.360	36.821
Coloroid_ATV_75_35	49.545	60.000	28.441	81.838	-19.316	40.839
Coloroid_ATV_76_38	50.689	60.000	25.752	81.838	-16.244	45.002
END_DATA
